toclevel	level	line	number	index	fromtitle	byteoffset	anchor	revid	date	data-filter	time
1	2	History of the debate	1	1	Race_and_intelligence	2659	History_of_the_debate	742016222	2016-10-01	2016-10-01	04:12:33Z
1	2	History of the debate	1	1	Race_and_intelligence	3300	History_of_the_debate	740992775	2016-09-24	2016-09-24	17:39:35Z
1	2	History of the debate	1	1	Race_and_intelligence	3300	History_of_the_debate	739772060	2016-09-16	2016-09-16	22:01:14Z
1	2	History of the debate	1	1	Race_and_intelligence	3300	History_of_the_debate	738939653	2016-09-11	2016-09-11	22:00:23Z
1	2	History of the debate	1	1	Race_and_intelligence	3649	History_of_the_debate	733853786	2016-08-10	2016-08-10	14:42:58Z
1	2	History of the debate	1	1	Race_and_intelligence	3649	History_of_the_debate	725130825	2016-06-13	2016-06-13	19:28:12Z
1	2	History of the debate	1	1	Race_and_intelligence	3650	History_of_the_debate	723826679	2016-06-05	2016-06-05	14:33:05Z
1	2	History of the debate	1	1	Race_and_intelligence	3650	History_of_the_debate	721031685	2016-05-19	2016-05-19	11:22:16Z
1	2	History of the debate	1	1	Race_and_intelligence	3650	History_of_the_debate	720914945	2016-05-18	2016-05-18	18:36:29Z
1	2	History of the debate	1	1	Race_and_intelligence	3650	History_of_the_debate	715780101	2016-04-17	2016-04-17	23:49:16Z
1	2	History of the debate	1	1	Race_and_intelligence	3655	History_of_the_debate	709688836	2016-03-12	2016-03-12	12:54:48Z
1	2	History of the debate	1	1	Race_and_intelligence	3655	History_of_the_debate	708447233	2016-03-05	2016-03-05	17:53:54Z
1	2	History of the debate	1	1	Race_and_intelligence	3656	History_of_the_debate	705000737	2016-02-14	2016-02-14	22:47:23Z
1	2	History of the debate	1	1	Race_and_intelligence	3656	History_of_the_debate	702737079	2016-02-01	2016-02-01	11:13:26Z
1	2	History of the debate	1	1	Race_and_intelligence	3656	History_of_the_debate	701797104	2016-01-26	2016-01-26	17:02:17Z
1	2	History of the debate	1	1	Race_and_intelligence	3656	History_of_the_debate	700017198	2016-01-15	2016-01-15	21:34:10Z
1	2	History of the debate	1	1	Race_and_intelligence	3656	History_of_the_debate	697730343	2016-01-01	2016-01-01	14:29:07Z
1	2	History of the debate	1	1	Race_and_intelligence	3656	History_of_the_debate	697623399	2015-12-31	2015-12-31	18:37:51Z
1	2	History of the debate	1	1	Race_and_intelligence	3656	History_of_the_debate	697476851	2015-12-30	2015-12-30	19:57:55Z
1	2	History of the debate	1	1	Race_and_intelligence	3656	History_of_the_debate	697289225	2015-12-29	2015-12-29	14:30:17Z
1	2	History of the debate	1	1	Race_and_intelligence	3640	History_of_the_debate	697034044	2015-12-27	2015-12-27	19:53:25Z
1	2	History of the debate	1	1	Race_and_intelligence	3640	History_of_the_debate	696923632	2015-12-26	2015-12-26	23:51:24Z
1	2	History of the debate	1	1	Race_and_intelligence	3640	History_of_the_debate	696348359	2015-12-22	2015-12-22	15:05:32Z
1	2	History of the debate	1	1	Race_and_intelligence	3640	History_of_the_debate	696177044	2015-12-21	2015-12-21	11:59:02Z
1	2	History of the debate	1	1	Race_and_intelligence	3318	History_of_the_debate	691929062	2015-11-23	2015-11-23	02:52:28Z
1	2	History of the debate	1	1	Race_and_intelligence	3318	History_of_the_debate	690828077	2015-11-15	2015-11-15	23:02:28Z
1	2	History of the debate	1	1	Race_and_intelligence	3278	History_of_the_debate	690204250	2015-11-11	2015-11-11	22:32:20Z
1	2	History of the debate	1	1	Race_and_intelligence	3278	History_of_the_debate	684636955	2015-10-07	2015-10-07	21:14:23Z
1	2	History of the debate	1	1	Race_and_intelligence	3278	History_of_the_debate	680264120	2015-09-09	2015-09-09	19:15:15Z
1	2	History of the debate	1	1	Race_and_intelligence	3278	History_of_the_debate	679636804	2015-09-05	2015-09-05	20:37:12Z
1	2	History of the debate	1	1	Race_and_intelligence	3278	History_of_the_debate	678124300	2015-08-27	2015-08-27	14:36:20Z
1	2	History of the debate	1	1	Race_and_intelligence	3287	History_of_the_debate	676945853	2015-08-20	2015-08-20	03:39:28Z
1	2	History of the debate	1	1	Race_and_intelligence	3287	History_of_the_debate	676778756	2015-08-19	2015-08-19	03:00:25Z
1	2	History of the debate	1	1	Race_and_intelligence	3287	History_of_the_debate	674758254	2015-08-05	2015-08-05	23:35:24Z
